Company Name,Industry,Symbol
Edelweiss Financial Services Ltd.,FINANCIAL SERVICES,EDELWEISS
Eicher Motors Ltd.,AUTOMOBILE,EICHERMOT
Emami Ltd.,CONSUMER GOODS,EMAMILTD
Endurance Technologies Ltd.,AUTOMOBILE,ENDURANCE
Escorts Ltd.,AUTOMOBILE,ESCORTS
Exide Industries Ltd.,AUTOMOBILE,EXIDEIND
Federal Bank Ltd.,FINANCIAL SERVICES,FEDERALBNK
Fortis Healthcare Ltd.,HEALTHCARE SERVICES,FORTIS
Future Retail Ltd.,CONSUMER GOODS,FRETAIL
GAIL (India) Ltd.,OIL & GAS,GAIL
GMR Infrastructure Ltd.,CONSTRUCTION,GMRINFRA
General Insurance Corporation of India,FINANCIAL SERVICES,GICRE
Glenmark Pharmaceuticals Ltd.,PHARMA,GLENMARK
Godrej Agrovet Ltd.,CONSUMER GOODS,GODREJAGRO
Godrej Consumer Products Ltd.,CONSUMER GOODS,GODREJCP
Godrej Industries Ltd.,CONSUMER GOODS,GODREJIND
Godrej Properties Ltd.,CONSTRUCTION,GODREJPROP
Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,GRASIM
Gujarat Gas Ltd.,OIL & GAS,GUJGASLTD
Gujarat State Petronet Ltd.,OIL & GAS,GSPL
HCL Technologies Ltd.,IT,HCLTECH
HDFC Asset Management Company Ltd.,FINANCIAL SERVICES,HDFCAMC
HDFC Bank Ltd.,FINANCIAL SERVICES,HDFCBANK
HDFC Life Insurance Company Ltd.,FINANCIAL SERVICES,HDFCLIFE
Havells India Ltd.,CONSUMER GOODS,HAVELLS
Hero MotoCorp Ltd.,AUTOMOBILE,HEROMOTOCO
Hindalco Industries Ltd.,METALS,HINDALCO
Hindustan Petroleum Corporation Ltd.,OIL & GAS,HINDPETRO
Hindustan Unilever Ltd.,CONSUMER GOODS,HINDUNILVR
Hindustan Zinc Ltd.,METALS,HINDZINC
Housing & Urban Development Corporation Ltd.,FINANCIAL SERVICES,HUDCO
Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,HDFC
ICICI Bank Ltd.,FINANCIAL SERVICES,ICICIBANK
ICICI Lombard General Insurance Company Ltd.,FINANCIAL SERVICES,ICICIGI
ICICI Prudential Life Insurance Company Ltd.,FINANCIAL SERVICES,ICICIPRULI
ICICI Securities Ltd.,FINANCIAL SERVICES,ISEC
IDFC First Bank Ltd.,FINANCIAL SERVICES,IDFCFIRSTB
ITC Ltd.,CONSUMER GOODS,ITC
Indiabulls Housing Finance Ltd.,FINANCIAL SERVICES,IBULHSGFIN
Indian Hotels Co. Ltd.,SERVICES,INDHOTEL
Indian Oil Corporation Ltd.,OIL & GAS,IOC
Indian Railway Catering And Tourism Corporation Ltd.,SERVICES,IRCTC
Indraprastha Gas Ltd.,OIL & GAS,IGL
Indus Towers Ltd.,TELECOM,INDUSTOWER
IndusInd Bank Ltd.,FINANCIAL SERVICES,INDUSINDBK
Info Edge (India) Ltd.,IT,NAUKRI
Infosys Ltd.,IT,INFY
InterGlobe Aviation Ltd.,SERVICES,INDIGO
Ipca Laboratories Ltd.,PHARMA,IPCALAB
JSW Energy Ltd.,POWER,JSWENERGY
JSW Steel Ltd.,METALS,JSWSTEEL
Jindal Steel & Power Ltd.,METALS,JINDALSTEL
Jubilant Foodworks Ltd.,CONSUMER GOODS,JUBLFOOD
Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,KOTAKBANK
L&T Finance Holdings Ltd.,FINANCIAL SERVICES,L&TFH
L&T Technology Services Ltd.,IT,LTTS
LIC Housing Finance Ltd.,FINANCIAL SERVICES,LICHSGFIN
Larsen & Toubro Infotech Ltd.,IT,LTI
Larsen & Toubro Ltd.,CONSTRUCTION,LT
Lupin Ltd.,PHARMA,LUPIN
MRF Ltd.,AUTOMOBILE,MRF
Mahanagar Gas Ltd.,OIL & GAS,MGL
Mahindra & Mahindra Financial Services Ltd.,FINANCIAL SERVICES,M&MFIN
Mahindra & Mahindra Ltd.,AUTOMOBILE,M&M
Manappuram Finance Ltd.,FINANCIAL SERVICES,MANAPPURAM
Marico Ltd.,CONSUMER GOODS,MARICO
Maruti Suzuki India Ltd.,AUTOMOBILE,MARUTI
Max Financial Services Ltd.,FINANCIAL SERVICES,MFSL
MindTree Ltd.,IT,MINDTREE
Motherson Sumi Systems Ltd.,AUTOMOBILE,MOTHERSUMI
MphasiS Ltd.,IT,MPHASIS
Muthoot Finance Ltd.,FINANCIAL SERVICES,MUTHOOTFIN
NATCO Pharma Ltd.,PHARMA,NATCOPHARM
NMDC Ltd.,METALS,NMDC
NTPC Ltd.,POWER,NTPC
National Aluminium Co. Ltd.,METALS,NATIONALUM
Navin Fluorine International Ltd.,CHEMICALS,NAVINFLUOR
Nestle India Ltd.,CONSUMER GOODS,NESTLEIND
Nippon Life India Asset Management Ltd.,FINANCIAL SERVICES,NAM-INDIA
Oberoi Realty Ltd.,CONSTRUCTION,OBEROIRLTY
Oil & Natural Gas Corporation Ltd.,OIL & GAS,ONGC
Oil India Ltd.,OIL & GAS,OIL
Oracle Financial Services Software Ltd.,IT,OFSS
PI Industries Ltd.,FERTILISERS & PESTICIDES,PIIND
Page Industries Ltd.,TEXTILES,PAGEIND
Petronet LNG Ltd.,OIL & GAS,PETRONET
Pfizer Ltd.,PHARMA,PFIZER
Pidilite Industries Ltd.,CHEMICALS,PIDILITIND
Piramal Enterprises Ltd.,FINANCIAL SERVICES,PEL
Polycab India Ltd.,INDUSTRIAL MANUFACTURING,POLYCAB
Power Finance Corporation Ltd.,FINANCIAL SERVICES,PFC
Power Grid Corporation of India Ltd.,POWER,POWERGRID
Prestige Estates Projects Ltd.,CONSTRUCTION,PRESTIGE
Procter & Gamble Hygiene & Health Care Ltd.,CONSUMER GOODS,PGHH
Punjab National Bank,FINANCIAL SERVICES,PNB
RBL Bank Ltd.,FINANCIAL SERVICES,RBLBANK
REC Ltd.,FINANCIAL SERVICES,RECLTD
Rajesh Exports Ltd.,CONSUMER GOODS,RAJESHEXPO
Reliance Industries Ltd.,OIL & GAS,RELIANCE
SBI Cards and Payment Services Ltd.,FINANCIAL SERVICES,SBICARD
SBI Life Insurance Company Ltd.,FINANCIAL SERVICES,SBILIFE
SRF Ltd.,INDUSTRIAL MANUFACTURING,SRF
Sanofi India Ltd.,PHARMA,SANOFI
Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,SHREECEM
Shriram Transport Finance Co. Ltd.,FINANCIAL SERVICES,SRTRANSFIN
Siemens Ltd.,INDUSTRIAL MANUFACTURING,SIEMENS
State Bank of India,FINANCIAL SERVICES,SBIN
Steel Authority of India Ltd.,METALS,SAIL
Sun Pharmaceutical Industries Ltd.,PHARMA,SUNPHARMA
Sun TV Network Ltd.,MEDIA & ENTERTAINMENT,SUNTV
Syngene International Ltd.,PHARMA,SYNGENE
TVS Motor Company Ltd.,AUTOMOBILE,TVSMOTOR
Tata Chemicals Ltd.,CHEMICALS,TATACHEM
Tata Consultancy Services Ltd.,IT,TCS
Tata Consumer Products Ltd.,CONSUMER GOODS,TATACONSUM
Tata Motors Ltd.,AUTOMOBILE,TATAMOTORS
Tata Power Co. Ltd.,POWER,TATAPOWER
Tata Steel Ltd.,METALS,TATASTEEL
Tech Mahindra Ltd.,IT,TECHM
The Ramco Cements Ltd.,CEMENT & CEMENT PRODUCTS,RAMCOCEM
Titan Company Ltd.,CONSUMER GOODS,TITAN
Torrent Pharmaceuticals Ltd.,PHARMA,TORNTPHARM
Torrent Power Ltd.,POWER,TORNTPOWER
Trent Ltd.,CONSUMER GOODS,TRENT
UPL Ltd.,FERTILISERS & PESTICIDES,UPL
UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,ULTRACEMCO
Union Bank of India,FINANCIAL SERVICES,UNIONBANK
United Breweries Ltd.,CONSUMER GOODS,UBL
United Spirits Ltd.,CONSUMER GOODS,MCDOWELL-N
V-Guard Industries Ltd.,CONSUMER GOODS,VGUARD
Varun Beverages Ltd.,CONSUMER GOODS,VBL
Vodafone Idea Ltd.,TELECOM,IDEA
Voltas Ltd.,CONSUMER GOODS,VOLTAS
Whirlpool of India Ltd.,CONSUMER GOODS,WHIRLPOOL
Wipro Ltd.,IT,WIPRO
Yes Bank Ltd.,FINANCIAL SERVICES,YESBANK
Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,ZEEL
